13fe4fddaed	ContentPipeline :> Loading [BG_TEXTURE_C]...
13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf54e	CompositeAsteroidComponent :> Asteroid Instantiated @ (3, 4) [HP = 2]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf54e	CompositeAsteroidComponent :> Asteroid Instantiated @ (1, 22) [HP = 2]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf54e	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf55e	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf55f	CompositeAsteroidComponent :> Asteroid Instantiated @ (20, 17) [HP = 2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf55f	CompositeAsteroidComponent :> Asteroid Instantiated @ (16, 3) [HP = 2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf55f	CompositeAsteroidComponent :> Asteroid Instantiated @ (27, 12) [HP = 2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf55f	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf56e	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf56f	CompositeAsteroidComponent :> Asteroid Instantiated @ (27, 19) [HP = 2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf56f	CompositeAsteroidComponent :> Asteroid Instantiated @ (2, 3) [HP = 2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf56f	CompositeAsteroidComponent :> Asteroid Instantiated @ (25, 11) [HP = 2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf56f	CompositeAsteroidComponent :> Asteroid Instantiated @ (13, 9) [HP = 2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf56f	CompositeAsteroidComponent :> Asteroid Instantiated @ (16, 15) [HP = 2]

13fe4fdf56f	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf57f	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf57f	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf57f	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf57f	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf580	ContentPipeline :> Loaded from buffer [ASTR_E_1]

